TRACKINGNUMBER,INSPECTIONDATE,INSPTYPE,NUMCRITICAL,NUMNONCRITICAL,VIOLLUMP,HAZARDRATING
HCAR-BZ8MAP,20230619,Routine,0,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
HCAR-BZ8MAP,20230120,Follow-Up,0,1,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
HCAR-BZ8MAP,20230119,Routine,1,3,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Moderate
HCAR-BZ8MAP,20220907,Routine,1,2,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
HCAR-BZ8MAP,20220318,Follow-Up,0,1,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
HCAR-BZ8MAP,20220311,Routine,0,3,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
HCAR-BZ8MAP,20210622,Routine,0,3,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
GEDS-738QQL,20230816,Routine,1,2,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|501,Not Critical,Operator does not have FOODSAFE Level 1 or Equivalent [s. 10(1)],Not Repeat",Low
GEDS-738QQL,20230118,Routine,0,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
GEDS-738QQL,20220620,Follow-Up,0,0,,Low
GEDS-738QQL,20220427,Routine,0,3,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
GEDS-738QQL,20211117,Routine,0,0,,Low
GEDS-738QQL,20210601,Follow-Up,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
GEDS-738QQL,20210527,Routine,2,4,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
SDFO-88ESVK,20230526,Follow-Up,0,0,,Low
SDFO-88ESVK,20230508,Follow-Up,0,3,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|310,Not Critical,Single use containers & utensils are used more than once [s. 20],Not Repeat",Low
SDFO-88ESVK,20230504,Routine,1,5,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|310,Not Critical,Single use containers & utensils are used more than once [s. 20],Not Repeat",High
SDFO-88ESVK,20221129,Routine,1,1,"210,Not Critical,Food not thawed in an acceptable manner [s. 14(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
SDFO-88ESVK,20220527,Follow-Up,0,0,,Low
SDFO-88ESVK,20220405,Routine,1,4,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|211,Not Critical,Frozen potentially hazardous food stored/displayed above -18 °C. [s. 14(3)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Moderate
SDFO-88ESVK,20191217,Follow-Up,0,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
SDFO-88ESVK,20191205,Routine,2,4,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|210,Not Critical,Food not thawed in an acceptable manner [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|502,Not Critical,In operator’s absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Moderate
LCOE-CQ5U7Z,20230927,Routine,1,1,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat",Low
LCOE-CQ5U7Z,20230403,Routine,1,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
LCOE-CQ5U7Z,20230214,Follow-Up,0,0,,Low
NDAA-8RNNVR,20230913,Routine,1,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
NDAA-8RNNVR,20221014,Routine,0,0,,Low
NDAA-8RNNVR,20220603,Follow-Up,0,0,,Low
NDAA-8RNNVR,20220601,Follow-Up,1,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
NDAA-8RNNVR,20220427,Routine,4,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
GEDS-6KHW57,20230606,Routine,1,2,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
GEDS-6KHW57,20220525,Routine,0,0,,Low
GEDS-6KHW57,20210413,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
GEDS-7YZN48,20230913,Routine,0,1,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat",Low
GEDS-7YZN48,20230510,Routine,0,1,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat",Low
GEDS-7YZN48,20221121,Routine,0,1,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat",Low
GEDS-7YZN48,20220513,Routine,1,1,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
GEDS-7YZN48,20210816,Routine,0,1,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
GEDS-7YZN48,20210224,Routine,0,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
GEDS-7YZN48,20200428,Routine,1,0,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
GEDS-7YZN48,20200123,Routine,0,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
SHEN-9SGNQT,20230710,Routine,0,0,,Low
SHEN-9SGNQT,20230124,Routine,0,0,,Low
SHEN-9SGNQT,20220805,Routine,2,3,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat",Moderate
SHEN-9SGNQT,20220119,Routine,0,0,,Low
SHEN-9SGNQT,20210409,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
SHEN-9SGNQT,20191107,Follow-Up,0,0,,Low
SDFO-8AULF9,20230818,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
SDFO-8AULF9,20230420,Routine,0,1,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
SDFO-8AULF9,20220602,Routine,2,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
SDFO-8AULF9,20210503,Routine,0,0,,Low
SDFO-8AULF9,20201015,Routine,0,0,,Low
SDFO-8AULF9,20200420,Routine,1,0,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
SDFO-8AULF9,20200107,Follow-Up,0,1,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat",Low
SDFO-8AULF9,20191105,Follow-Up,0,0,,Low
SDFO-8L8SZK,20230725,Routine,0,1,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat",Low
SDFO-8L8SZK,20220809,Routine,0,0,,Low
SDFO-8L8SZK,20220216,Routine,0,0,,Low
SDFO-8L8SZK,20210813,Routine,0,0,,Low
SDFO-8L8SZK,20210223,Routine,0,0,,Low
NDAA-9L2T78,20230615,Routine,0,0,,Low
NDAA-9L2T78,20220530,Follow-Up,0,0,,Low
